ID,Profit99,Online99,Age99,Inc99,Tenure99,District99,Profit00,Online00,Billpay99,Billpay00
102,208,0,3,6,6.75,1100,44,0,0,0
103,-83,0,5,7,6.83,1200,,,0,
104,36,0,,,24,1200,47,0,0,0
105,295,0,7,3,20.58,1100,61,0,0,0
106,10,0,,,2,1200,,,0,
107,46,0,4,3,5.58,1200,506,0,0,0
108,671,0,,,12.66,1200,262,0,0,0
109,56,0,4,8,21.08,1200,113,0,0,0
110,865,0,5,9,20.83,1200,811,0,0,0
111,-29,0,3,1,4.16,1200,-99,0,0,0
112,13,0,,,3.5,1300,,,0,
113,218,0,2,4,9.41,1200,8,1,0,0
114,94,0,,,7.58,1200,,,0,
115,-82,0,7,1,1.91,1200,-58,0,0,0
116,-134,0,3,1,3.75,1200,,,0,
117,-2,0,5,7,4.58,1200,-2,0,0,0
118,-3,0,3,2,6.41,1300,8,0,0,0
119,-45,0,3,6,7.5,1200,-5,0,0,0
120,-191,1,2,7,4.41,1200,-74,1,1,1
121,66,0,5,6,6.75,1200,53,0,0,0
122,47,0,,,8.16,1200,136,0,0,0
123,10,0,,,6.5,1200,180,0,0,0
124,0,0,,,5.41,1200,-21,0,0,0
125,396,0,6,7,41.16,1200,450,0,0,0
126,53,0,1,2,13.91,1200,75,0,0,0
127,96,0,3,6,2.75,1200,124,0,0,0
128,-25,0,4,9,14.25,1200,-19,0,0,0
129,-27,1,3,3,1.91,1200,-29,1,0,0
130,301,0,4,7,17.5,1200,378,0,0,0
131,475,0,7,4,37.41,1300,397,0,0,0
132,-7,0,,,3.16,1200,,,0,
133,121,0,4,4,22.25,1100,34,0,0,0
134,175,0,,,5.33,1300,,,0,
135,32,0,4,6,9.25,1200,268,1,0,0
136,-6,0,3,6,4.5,1200,-32,0,0,0
137,110,0,,,6.08,1200,,,0,
138,-54,0,4,6,4.08,1200,38,0,0,0
139,-118,0,2,6,10.08,1200,-114,0,0,0
140,13,0,2,,1.33,1200,,,0,
141,284,1,3,6,8.91,1200,196,1,0,0
142,79,0,3,8,5.91,1300,,,0,
143,-20,0,,,1.5,1300,,,0,
144,-91,0,,,3,1200,-112,0,0,0
145,52,0,,,8.25,1200,51,0,0,0
146,198,0,,,10.16,1200,88,0,0,0
147,565,1,2,9,3.66,1200,1198,1,0,0
148,23,0,5,6,26.75,1200,167,0,0,0
149,-60,0,3,7,5.91,1200,-60,0,0,0
150,-33,0,,,11.58,1300,-34,0,0,0
151,-9,0,,,1,1200,,,0,
152,-19,0,,,4.41,1200,,,0,
153,439,0,6,3,25.83,1200,640,0,0,0
154,167,0,6,6,30.08,1200,238,0,0,0
155,-63,0,6,3,2.16,1200,-64,0,0,0
156,-25,0,6,6,5.41,1200,-29,0,0,0
157,338,0,,,6.16,1200,,,0,
158,78,0,4,6,7,1200,109,0,0,0
159,459,0,2,5,4,1300,394,0,0,0
160,-52,0,,,11.25,1300,-69,0,0,0
161,136,0,,,2.75,1200,-28,1,0,0
162,16,0,3,7,7.08,1200,,,0,
163,-68,0,,7,9.08,1200,-36,1,0,0
164,441,0,,,7.91,1200,,,0,
165,263,0,7,6,14.33,1200,119,0,0,0
166,-59,0,5,5,3.58,1200,-55,0,0,0
167,69,0,3,5,1,1200,28,0,0,0
168,-25,0,3,8,4.25,1200,-26,0,0,0
169,639,0,4,9,15.41,1200,221,1,0,0
170,896,0,3,6,13.58,1200,678,0,0,0
171,-58,0,,,3.66,1200,,,0,
172,642,0,2,6,5.16,1200,379,1,0,1
173,-37,0,5,1,20.41,1100,129,0,0,0
174,-28,0,,,3.75,1200,,,0,
175,136,0,,,29.25,1100,,,0,
176,49,0,4,1,5.08,1300,162,0,0,0
177,10,0,,,0.16,1200,,,0,
178,-120,1,,,13.83,1200,75,1,0,0
179,-80,0,,2,7.08,1200,-62,0,0,0
180,498,1,7,3,26.41,1200,365,1,0,0
181,402,0,3,6,0.75,1200,394,0,0,0
182,439,0,5,5,3.75,1200,,,0,
183,308,0,7,3,2.33,1200,205,0,0,0
184,0,0,5,5,10.5,1200,-30,0,0,0
185,-19,1,3,7,1.41,1200,-83,1,0,0
186,283,1,,,19.5,1200,403,1,0,0
187,92,0,2,7,10.08,1200,88,0,0,0
188,14,0,4,5,21.41,1200,38,0,0,0
189,177,0,7,2,8.91,1200,210,0,0,0
190,14,0,2,9,5.08,1200,-82,0,0,0
191,-40,1,3,6,3.66,1200,,,0,
192,216,0,3,8,5,1200,2726,1,0,0
193,-107,0,,,4.5,1100,-133,0,0,0
194,-37,0,2,6,6.58,1300,3,0,0,0
195,33,0,3,1,2.41,1200,7,0,0,0
196,22,0,,,17.66,1200,252,0,0,0
197,-65,0,4,7,9.75,1200,-72,0,0,0
198,-17,1,4,5,13.16,1300,34,1,0,0
199,-26,0,,,4.33,1200,,,0,
200,126,0,2,8,4.91,1200,168,0,0,0
201,382,0,4,6,14.91,1200,368,0,0,0
202,5,0,5,3,22.5,1100,-3,0,0,0
203,-88,0,2,6,7.75,1200,-171,0,0,0
204,204,0,7,2,15.16,1200,337,0,0,0
205,170,0,5,5,5,1200,81,0,0,0
206,-24,0,5,4,20.58,1200,-9,0,0,0
207,-24,0,,,2.91,1300,,,0,
208,273,0,5,9,30.08,1200,315,0,0,0
209,404,0,4,6,3.5,1200,278,0,0,0
210,-10,1,4,6,4.5,1300,447,1,0,0
211,98,0,7,1,18.16,1200,111,0,0,0
212,11,0,3,7,1.91,1300,131,0,0,0
213,-17,0,7,9,27.25,1200,-36,0,0,0
214,1,0,1,7,2.75,1100,,,0,
215,-179,1,4,6,11.08,1200,-189,1,0,0
216,0,1,,,4.91,1200,-24,1,0,0
217,-33,0,2,1,5.16,1200,,,0,
218,746,1,4,3,18.25,1200,799,0,0,0
219,175,0,,,13.66,1200,13,1,0,0
220,-110,0,2,6,5.75,1200,-98,0,0,0
221,7,0,7,6,22.08,1200,86,0,0,0
222,259,0,7,1,16.16,1200,293,0,0,0
223,44,0,,,5.33,1200,47,0,0,0
224,160,0,4,5,25.33,1200,,,0,
225,246,0,,,16.58,1200,,,0,
226,73,0,7,5,8.25,1200,164,0,0,0
227,-78,0,3,4,4.58,1200,-37,0,0,0
228,177,0,4,6,4.16,1200,62,0,0,0
229,13,0,,,4.5,1100,-23,0,0,0
230,-1,0,,,12,1200,83,0,0,0
231,401,0,,,4.66,1200,215,1,0,0
232,335,0,4,6,5.25,1200,315,0,0,0
233,-109,0,,,9.16,1200,,,0,
234,1088,0,6,4,26.91,1200,1162,0,0,0
235,-30,1,2,,5.08,1200,-29,1,0,0
236,-10,0,4,6,15.33,1200,0,0,0,0
237,400,0,7,7,9,1300,402,0,0,0
238,285,0,2,3,11.41,1200,143,0,0,0
239,165,0,,,4.41,1300,,,0,
240,128,0,3,,2.25,1200,395,0,0,0
241,-27,1,2,6,0.5,1200,,,0,
242,-48,0,3,7,1.5,1200,-7,0,0,0
243,1517,0,4,9,21.83,1200,1470,0,0,0
244,-59,0,7,3,9.75,1200,-40,0,0,0
245,76,0,,,8.5,1200,186,0,0,0
246,-19,0,,,2.08,1200,-19,0,0,0
247,10,0,,,4.08,1200,-7,0,0,0
248,45,0,3,5,11.25,1200,,,0,
249,157,1,5,6,26.33,1200,161,1,0,0
250,563,0,5,6,0.83,1200,829,0,0,0
251,-95,0,4,9,17.75,1200,43,0,0,0
252,-69,0,7,4,11.41,1200,-69,0,0,0
253,-16,0,,,3.41,1200,,,0,
254,-97,0,4,9,19.66,1200,-10,0,0,0
255,721,0,5,1,18.33,1200,,,0,
256,-24,0,2,1,0.66,1200,-47,0,0,0
257,-16,0,7,3,0.58,1200,13,0,0,0
258,-76,0,6,3,1.58,1300,10,0,0,0
259,-50,0,,,4,1200,,,0,
260,-36,0,,,2.25,1200,,,0,
261,417,0,7,2,0.16,1200,416,0,0,0
262,-184,0,,,17.08,1100,-53,0,0,0
263,75,0,2,6,6.25,1300,-28,0,0,0
264,135,0,,,7,1200,96,0,0,0
265,206,0,3,4,6.25,1200,,,0,
266,-15,0,4,8,5.08,1300,-26,0,0,0
267,109,0,,8,18.5,1200,90,0,0,0
268,59,0,5,8,5.25,1200,69,0,0,0
269,-34,0,3,9,13.5,1200,-73,0,0,0
270,-32,0,1,,2.75,1300,-39,0,0,0
271,95,0,,,18.33,1300,164,0,0,0
272,609,0,4,4,27.08,1200,629,0,0,0
273,-7,0,4,6,1.75,1200,-24,0,0,0
274,-211,0,4,6,13.33,1200,45,0,0,0
275,-150,0,1,4,2.5,1100,-32,0,0,0
276,-9,0,,,1.66,1200,,,0,
277,92,0,5,4,29.66,1200,14,0,0,0
278,193,0,5,8,21.41,1200,103,0,0,0
279,367,0,7,9,3.25,1200,227,0,0,0
280,244,0,7,6,10.66,1200,28,0,0,0
281,-111,0,4,4,7.08,1200,-84,0,0,0
282,-3,0,2,2,7.25,1200,80,1,0,0
283,245,0,2,1,5.41,1100,187,0,0,0
284,-15,0,2,1,4.25,1200,,,0,
285,-76,0,7,1,30.91,1300,-68,0,0,0
286,490,1,4,9,5.58,1200,532,1,1,1
287,-2,0,,,5.66,1300,-21,0,0,0
288,-27,0,,,13.41,1200,,,0,
289,19,0,6,6,9.83,1200,154,0,0,0
290,326,0,,,3.5,1200,-80,0,0,0
291,117,0,7,6,6.5,1200,1611,0,0,0
292,755,0,7,3,10.58,1200,1363,0,0,0
293,0,0,2,1,14.91,1200,6,0,0,0
294,23,0,,,1.58,1200,-18,0,0,0
295,-60,0,6,8,9,1200,-60,0,0,0
296,15,0,,,1.08,1200,,,0,
297,-23,0,5,5,5.16,1200,11,0,0,0
298,-26,0,4,3,18.16,1200,73,0,0,0
299,24,1,1,6,11,1200,13,0,0,0
300,-16,1,3,6,9.83,1200,,,0,
301,184,0,2,9,4.16,1300,71,0,0,0
302,321,1,3,8,21.08,1200,396,1,0,0
303,-8,0,3,5,9.66,1100,-70,0,0,0
304,-40,0,,,3.66,1200,-43,0,0,0
305,-127,0,4,9,24.75,1200,-282,1,0,0
306,125,0,6,3,26.58,1200,174,0,0,0
307,84,0,3,5,6.08,1300,47,0,0,0
308,-29,0,7,6,3.83,1200,,,0,
309,-37,0,2,2,4.16,1200,10,0,0,0
310,-94,1,4,6,12.91,1200,36,1,0,0
311,63,0,4,6,23.66,1200,-32,0,0,0
312,15,0,,,2.33,1200,14,0,0,0
313,-34,0,,3,4.33,1200,-34,0,0,0
314,49,0,6,3,26.83,1200,-52,0,0,0
315,24,0,5,7,35.08,1200,123,0,0,0
316,672,0,3,9,5.66,1200,17,0,0,0
317,-25,0,,,3.41,1200,-19,0,0,0
318,135,0,4,6,6.58,1200,1337,1,0,0
319,-38,0,4,8,24.91,1200,-53,0,0,0
320,4,0,,,21.16,1200,,,0,
321,-33,0,,,17,1200,,,0,
322,-40,0,,,24.08,1200,,,0,
323,107,0,3,8,4.66,1300,48,0,0,0
324,89,1,,,16.5,1200,,,0,
325,-25,0,,,5.58,1200,,,0,
326,-84,0,,,12.91,1200,,,0,
327,35,0,2,6,1.58,1200,69,0,0,0
328,-22,0,,,2.58,1300,,,0,
329,-25,0,7,9,11.08,1100,-32,0,0,0
330,80,0,,,10.41,1300,178,0,0,0
331,254,0,4,2,7.16,1100,23,0,0,0
332,460,1,4,9,16.16,1200,355,1,0,0
333,12,0,4,6,7,1200,-62,0,0,0
334,73,0,,,0.5,1200,114,0,0,0
335,92,0,3,1,3.83,1100,128,0,0,0
336,-48,0,3,6,5.16,1200,1,0,0,0
337,551,0,4,9,5.16,1200,229,1,0,0
338,-22,0,4,4,6.58,1100,-22,0,0,0
339,292,0,2,8,8.33,1200,252,0,0,0
340,-24,0,4,6,6.5,1200,-210,0,0,0
341,-9,0,5,7,4.91,1200,-13,0,0,0
342,151,0,,,16.58,1200,144,0,0,0
343,-65,0,,,7.66,1200,-80,0,0,0
344,-25,0,7,5,12.16,1200,-24,0,0,0
345,-47,0,,,4.91,1200,-22,0,0,0
346,237,0,1,1,0.83,1300,153,0,0,0
347,-26,1,4,6,4.16,1200,,,0,
348,-45,0,3,4,1.58,1200,-20,0,0,0
349,-5,0,,,27.83,1200,-19,0,0,0
350,372,0,2,9,4.75,1200,530,0,0,0
351,686,0,4,9,2.41,1200,847,1,0,0
352,-120,0,4,6,14.08,1200,45,0,0,0
353,479,0,3,7,2.41,1200,377,0,0,0
354,29,0,,,1.5,1300,133,1,0,0
355,-40,0,7,9,1.66,1200,6,0,0,0
356,-95,0,2,4,4.91,1200,-141,1,0,0
357,-61,0,5,3,18.58,1200,-61,0,0,0
358,-103,0,4,9,32.5,1200,20,0,0,0
359,48,0,3,8,7.91,1300,48,0,0,0
360,1276,1,,,4.58,1200,202,1,0,0
361,-165,0,,,15.5,1200,-166,1,0,0
362,1003,1,5,5,21.91,1200,1405,0,0,0
363,-20,0,3,3,4.33,1200,-17,0,0,0
364,272,0,3,9,17.08,1200,301,0,0,0
365,378,0,4,7,27.25,1200,194,0,0,0
366,-37,0,,,1.58,1300,-34,0,0,0
367,-31,0,4,6,0.5,1200,-38,0,0,0
368,-61,0,3,3,6.66,1100,-128,0,0,0
369,-33,0,6,6,0.5,1200,-31,0,0,0
370,-37,0,3,3,1.5,1200,-64,0,0,0
371,572,0,5,9,9.83,1200,722,0,0,0
372,112,0,3,7,5.41,1200,,,0,
373,-35,1,5,7,5.5,1200,-1,0,0,0
374,1227,0,,,10.83,1200,,,0,
375,-133,0,,,23.25,1300,,,0,
376,210,1,3,7,17.5,1200,589,0,0,0
377,195,0,4,7,10.75,1200,198,0,0,0
378,-36,0,,,12.5,1200,-35,0,0,0
379,1,0,1,,4.16,1300,-9,0,0,0
380,51,0,,,10.41,1200,-95,0,0,0
381,1052,0,,,40.66,1200,104,0,0,0
382,-41,0,5,6,18.58,1200,-66,0,0,0
383,1,0,4,5,13.5,1200,,,0,
384,210,0,4,9,13.66,1200,265,0,0,0
385,152,1,3,5,5.58,1200,269,1,0,0
386,223,0,7,6,11.58,1200,102,0,0,0
387,404,1,2,9,5.91,1200,596,1,0,0
388,-95,0,4,6,3.41,1300,89,0,0,0
389,161,0,,,12.41,1300,175,0,0,0
390,-181,0,4,4,18.41,1300,-23,0,0,0
391,486,0,2,6,6.91,1300,134,0,0,0
392,-6,1,2,6,7.33,1200,-15,1,1,1
393,-202,0,3,8,13.91,1200,-226,0,0,0
394,-30,0,2,3,3.58,1200,-19,0,0,0
395,295,0,3,6,4.83,1200,164,0,0,0
396,-24,0,4,6,2.58,1200,374,0,0,0
397,41,0,7,4,7.25,1100,41,0,0,0
398,-149,1,4,7,29.33,1200,-146,1,0,0
399,-131,0,,,27.41,1100,,,0,
400,416,0,7,4,2.83,1300,602,0,0,0
401,-43,1,,,3.83,1200,-50,1,0,1
402,430,0,4,5,9.66,1200,39,0,0,0
403,-149,0,3,5,7.41,1100,41,0,0,0
404,48,0,4,4,8.16,1200,-7,1,0,1
405,-6,0,7,3,7.41,1200,10,0,0,0
406,-51,0,4,6,4.75,1100,-42,0,0,0
407,-29,0,,,4.33,1200,,,0,
408,3,0,4,6,21.08,1200,-83,0,0,0
409,-52,0,4,4,22.33,1300,11,0,0,0
410,163,0,5,7,17.5,1200,152,0,0,0
411,-20,0,3,6,19.33,1200,-94,0,0,0
412,153,0,5,3,10.5,1200,391,0,0,0
413,-49,0,,,9.83,1200,-31,0,0,0
414,223,0,,,12.08,1200,258,0,0,0
415,503,0,6,4,15.08,1200,474,0,0,0
416,119,0,2,4,6.33,1100,73,0,0,0
417,480,1,3,7,9.66,1200,318,0,0,0
418,-38,0,,1,2.5,1200,-36,0,0,0
419,-1,0,2,1,7.91,1200,-37,0,0,0
420,-40,0,,,6.75,1200,,,0,
421,-70,0,7,1,21.66,1200,-33,0,0,0
422,552,0,3,9,10.33,1200,-28,0,0,0
423,109,0,5,9,15.66,1200,123,0,0,0
424,115,0,6,7,5.66,1100,6,0,0,0
425,-30,0,3,5,4.75,1200,-38,0,0,0
426,314,0,4,2,26,1200,237,0,0,0
427,285,0,6,9,19.16,1200,259,0,0,0
428,-7,1,2,1,2.83,1200,13,1,0,0
429,-66,0,6,6,13.58,1200,-58,0,0,0
430,-56,0,,1,1.58,1100,-64,0,0,0
431,392,0,4,8,7.41,1200,824,0,0,0
432,-112,0,6,3,11.08,1100,-80,0,0,0
433,-48,0,,,8.33,1300,-43,0,0,0
434,784,0,7,6,15.66,1200,1146,0,0,0
435,-59,0,,,4.91,1300,,,0,
436,1818,0,7,1,30.08,1200,672,0,0,0
437,33,0,4,1,3.08,1100,83,0,0,0
438,-21,0,,,1.58,1300,-13,0,0,0
439,8,0,,,17.25,1200,,,0,
440,457,0,4,6,5.91,1200,914,0,0,0
441,-79,0,6,3,22.5,1300,-88,0,0,0
442,138,0,1,2,7.33,1200,,,0,
443,129,0,,,10.83,1100,417,0,0,0
444,-27,0,3,6,2.41,1200,-23,0,0,0
445,141,0,2,4,6,1300,197,0,0,0
446,110,0,7,4,19.83,1300,127,0,0,0
447,107,0,6,7,27.66,1200,-49,0,0,0
448,-7,0,,,17,1200,82,0,0,0
449,94,0,3,5,6.83,1200,80,0,0,0
450,48,0,2,3,3.33,1200,66,0,0,0
451,-9,0,4,1,5,1100,-4,0,0,0
452,-39,1,,,10.66,1200,-35,1,0,0
453,-32,0,,,2.08,1200,,,0,
454,111,0,4,2,14.75,1100,100,0,0,0
455,381,0,5,9,5.25,1300,799,0,0,0
456,-30,0,,,1.33,1100,,,0,
457,-17,0,2,6,6.66,1200,,,0,
458,30,0,7,1,20,1200,106,0,0,0
459,442,1,2,4,8.33,1200,102,0,0,0
460,720,0,7,4,19.33,1300,,,0,
461,210,0,3,8,7,1200,267,0,0,0
462,-54,0,,,33.83,1100,-44,0,0,0
463,-2,0,4,6,6.58,1100,,,0,
464,-29,0,6,,4.66,1300,,,0,
465,-1,0,,,3.91,1200,,,0,
466,-3,0,3,1,6.16,1200,-3,0,0,0
467,-53,0,7,6,12,1200,-54,0,0,0
468,103,0,6,3,10.5,1200,,,0,
469,300,0,3,9,16.33,1200,240,0,0,0
470,146,0,7,9,0.91,1200,108,0,0,0
471,145,0,5,5,28,1200,220,0,0,0
472,-26,0,,,9.66,1200,,,0,
473,58,0,1,6,4.83,1200,,,0,
474,8,0,2,7,5.91,1200,115,1,0,0
475,380,0,,,1.66,1300,,,0,
476,-119,0,,,4.33,1300,,,0,
477,359,0,4,6,2.41,1200,,,0,
478,0,0,6,5,7.33,1200,13,0,0,0
479,-4,1,5,6,11.25,1200,-53,0,0,0
480,14,0,,,1,1200,-7,0,0,0
481,795,0,7,9,10.91,1200,1024,0,0,0
482,-21,0,,6,22.33,1200,179,0,0,0
483,-33,0,6,4,6.83,1300,-36,0,0,0
484,350,1,,,1.75,1200,-22,1,0,0
485,95,1,4,7,7.75,1200,15,1,0,0
486,677,0,,,37.41,1200,,,0,
487,6,0,7,6,7.58,1200,-54,0,0,0
488,-12,0,2,1,10.5,1100,-21,0,0,0
489,-3,0,7,7,3.75,1300,-3,0,0,0
490,61,0,7,3,18.25,1200,,,0,
491,-7,0,7,6,19.25,1200,-18,0,0,0
492,8,0,,,11.33,1200,-27,0,0,0
493,558,0,2,2,1.66,1200,831,0,0,0
494,194,0,,,4.66,1200,102,1,0,0
495,10,0,,,5.83,1200,,,0,
496,96,0,5,6,29.66,1200,216,0,0,0
497,258,0,3,6,10.33,1200,207,0,0,0
498,184,1,4,5,33.5,1300,326,1,0,0
499,-72,0,7,1,10.41,1200,-6,0,0,0
500,827,0,3,6,14.75,1200,1248,0,0,0
501,785,0,,,34.25,1300,670,0,0,0
502,-34,0,4,3,30.91,1300,-105,0,0,0
503,13,0,4,2,0.75,1200,-8,0,0,0
504,-21,0,4,6,19.41,1200,76,0,0,0
505,-9,0,,,7.58,1200,24,0,0,0
506,127,0,3,5,6,1200,109,0,0,0
507,-29,0,2,6,2.33,1200,-17,0,0,0
508,297,0,2,4,9,1200,-8,0,0,0
509,14,0,,,0.5,1300,-33,1,0,0
510,-82,0,7,4,13.33,1200,-77,0,0,0
511,-34,0,7,6,7.58,1200,,,0,
512,99,0,6,5,11.41,1200,111,0,0,0
513,-145,0,4,6,4.5,1200,-124,0,0,0
514,-2,0,,,1,1100,,,0,
515,9,0,3,9,9.75,1200,204,0,0,0
516,76,0,4,8,18.58,1200,43,0,0,0
517,116,0,3,9,33.75,1200,112,0,0,0
518,116,0,,,3.16,1200,,,0,
519,-118,0,4,9,11.25,1200,-124,0,0,0
520,172,0,,,22.83,1200,,,0,
521,487,0,,,5.08,1200,,,0,
522,-22,1,2,3,6.33,1200,1,1,0,0
523,-48,0,2,4,4.66,1100,-73,0,0,0
524,147,0,3,5,4.08,1300,,,0,
525,49,0,5,9,1.66,1200,64,0,0,0
526,610,0,6,6,6.75,1100,712,0,0,0
527,523,0,,,12.83,1200,,,0,
528,125,1,,,4.58,1200,-14,0,0,0
529,205,0,3,6,7.16,1200,,,0,
530,922,0,4,9,3.91,1200,797,0,0,0
531,-78,0,2,7,9.66,1200,-26,0,0,0
532,222,0,6,2,3.33,1300,87,0,0,0
533,37,0,7,2,28.58,1200,-55,0,0,0
534,-72,0,,,10.66,1200,,,0,
535,63,0,,,8.58,1200,408,0,0,0
536,125,0,4,3,6.33,1200,220,0,0,0
537,-148,0,6,8,11.5,1200,-133,1,0,0
538,1364,0,,,26.08,1100,46,0,0,0
539,-28,0,,,9.5,1300,,,0,
540,-35,0,,1,6,1200,40,0,0,0
541,-33,0,3,6,13.5,1200,,,0,
542,17,0,3,8,3.33,1200,-130,0,0,0
543,107,0,7,9,4.91,1200,63,0,0,0
544,236,0,7,9,14.16,1200,291,0,0,0
545,124,0,4,9,5.66,1200,454,0,0,0
546,-31,0,2,1,12.25,1100,-31,0,0,0
547,-6,0,,,2.66,1100,-31,0,0,0
548,-18,0,5,6,28.33,1200,-10,0,0,0
549,-30,0,4,5,1.66,1300,-30,0,0,0
550,-3,0,3,8,3.25,1200,-3,0,0,0
551,-94,1,,,22.08,1200,-86,1,0,1
552,-32,0,,,4.66,1200,43,0,0,0
553,-26,0,6,5,6.75,1300,-31,0,0,0
554,-56,0,,,3.66,1200,-24,0,0,0
555,-31,0,,,5.58,1200,-29,0,0,0
556,257,1,4,6,2.08,1200,-95,1,0,0
557,275,0,7,3,5.08,1100,268,0,0,0
558,491,0,,,4.25,1200,,,0,
559,92,0,2,6,2.33,1200,,,0,
560,1362,0,,,16.91,1200,1162,0,0,0
561,226,0,6,6,3.91,1200,280,0,0,0
562,-58,0,4,5,3.66,1100,-392,0,0,0
563,377,1,,,3.83,1200,,,0,
564,10,0,6,6,33.41,1200,-80,0,0,0
565,-104,0,3,5,5.5,1200,592,0,0,0
566,51,1,6,5,0.66,1200,297,1,1,0
