Offer #,Campaign,Varietal,Minimum Qty (kg),Discount (%),Origin,Past Peak,Adams,Allen,Anderson,Bailey,Baker,Barnes,Bell,Bennett,Brooks,Brown,Butler,Campbell,Carter,Clark,Collins,Cook,Cooper,Cox,Cruz,Davis,Diaz,Edwards,Evans,Fisher,Flores,Foster,Garcia,Gomez,Gonzalez,Gray,Green,Gutierrez,Hall,Harris,Hernandez,Hill,Howard,Hughes,Jackson,James,Jenkins,Johnson,Jones,Kelly,King,Lee,Lewis,Long,Lopez,Martin,Martinez,Miller,Mitchell,Moore,Morales,Morgan,Morris,Murphy,Myers,Nelson,Nguyen,Ortiz,Parker,Perez,Perry,Peterson,Phillips,Powell,Price,Ramirez,Reed,Reyes,Richardson,Rivera,Roberts,Robinson,Rodriguez,Rogers,Ross,Russell,Sanchez,Sanders,Scott,Smith,Stewart,Sullivan,Taylor,Thomas,Thompson,Torres,Turner,Walker,Ward,Watson,White,Williams,Wilson,Wood,Wright,Young
11,May,Champagne,72,85,France,FALSE,,,,,,,,,1,,,,,1,1,,,,,,,,,1,,,,1,,,,,1,,,,1,,1,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,
12,May,Prosecco,72,83,Australia,FALSE,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,May,Merlot,6,43,Chile,FALSE,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
14,June,Merlot,72,64,Chile,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,1,,,,,,,1,,,1,,
15,June,Cabernet Sauvignon,144,19,Italy,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
16,June,Merlot,72,88,California,FALSE,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
17,July,Pinot Noir,12,47,Germany,FALSE,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,July,Espumante,6,50,Oregon,FALSE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,1,,,,,1,,,,,,,1,1,,,,,1,,,,1,,,,
19,July,Champagne,12,66,Germany,FALSE,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
20,August,Cabernet Sauvignon,72,82,Italy,FALSE,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
21,August,Champagne,12,50,California,FALSE,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,
22,August,Champagne,72,63,France,FALSE,,,,,,1,,,1,,1,,,,,,,,,1,,,1,1,,1,,,,,,,1,1,,,1,,1,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,,,1,1,,,,1
23,September,Chardonnay,144,39,South Africa,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
24,September,Pinot Noir,6,34,Italy,FALSE,,,1,,,,1,,,,,1,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
25,October,Cabernet Sauvignon,72,59,Oregon,TRUE,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,
26,October,Pinot Noir,144,83,Australia,FALSE,,,1,,,,1,,,,,1,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,1,1,1,,,,,,1,,,,,,,,,,,,
27,October,Champagne,72,88,New Zealand,FALSE,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,
28,November,Cabernet Sauvignon,12,56,France,TRUE,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,November,Pinot Grigio,6,87,France,FALSE,1,,,,,,,1,,1,,,1,,,,,,1,,1,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,1,,1,,,,,,
30,December,Malbec,6,54,France,FALSE,1,,,1,,,,,,1,1,,1,,1,,,,1,,1,,,1,,,,,,,,,,,,1,,1,,1,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,1,,1,,1,,,,,,1,,1,,,
31,December,Champagne,72,89,France,FALSE,,,,,1,1,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,1,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,1,,1
32,December,Cabernet Sauvignon,72,45,Germany,TRUE,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
